"betaAA","phi","kappa","alpha","zeta","betaHD","betaHI_EU","imp_nEU","propres_impnEU"
0.0155598028213717,0.00597212861175649,5.3169256541878,0.216997787321833,0.00570654178038239,0.00156266706879251,0.000567557462025434,0.0306720041669905,0.271463107084855
0.00441060521407053,0.00592959441710264,0.0642221886664629,0.256095914495037,0.00211967484094203,0.00125108249951154,0.000271872765850276,0.128475457686,0.596420555841178
0.0177510229870677,0.00334329862962477,10.5066060181707,0.595415280457096,0.00264906194526702,0.00357693468686193,0.000726507041370496,0.0176363989245146,0.565136282239109
0.00774107768665999,0.00294236581539735,9.79336540214717,0.472620074854609,0.0122205023095012,0.000128735903417692,0.000688436293508857,0.208716015703976,0.778444622410461
0.017173232359346,0.0223652026092168,15.422474630177,0.447842760969451,0.0124756803922355,0.00199426083359867,0.000366894620237872,0.130883037485182,0.225197690306231
0.0372335026273504,0.019799492880702,6.56091174576432,0.207715156849997,0.00313045958057046,0.000263885197928175,0.000734353229403496,0.0167166038649157,0.253649095306173
0.0331745241186582,0.0140915054129437,10.5286794016138,0.132595427770449,0.00865357579197735,0.00105190881993622,0.000215866648126394,0.161439422518015,0.986157257342711
0.0290910623385571,0.0235892486409284,7.02947079669684,0.217404268341376,0.00398235493805259,0.00161462782649323,0.000127284631831571,0.184833807963878,0.0761149465106428
0.00584878964582458,0.0104134787281509,2.61504016350955,0.151206320748332,0.00257798156235367,0.000830113043775782,0.000311462039826438,0.12802052507177,0.887752500828356
0.0313468663720414,0.0235764588112943,7.25934510119259,0.0668149586478039,0.00363770074211061,0.000714407233754173,0.000713853245601058,0.128892573877238,0.644242631271482
0.0171646008617245,0.00346737842774019,1.9401316344738,0.131548069886096,0.00328800541814417,0.00129229298792779,0.00094436731771566,0.110059640253894,0.29848405555822
0.00313583365641534,0.0167816246452276,10.3859082562849,0.0961332694827457,0.0159548253705725,0.000228626716416329,9.57266120240092e-05,0.289203197602183,0.17753562447615
0.00057675534626469,0.0149467956041917,14.0340770408511,0.257056486297383,0.00508550732396543,0.0019172235717997,0.000275708752917126,0.228737527574413,0.990472461329773
0.0253627710277215,0.0215350396116264,9.62474110070616,0.189641091662022,0.00315499223768711,0.0020590532256756,0.00065912311966531,0.0564159528817981,0.264314222615212
0.0235112472320907,0.0213922625116538,14.729940588586,0.161829307184406,0.00207923185545951,0.00307101669837721,0.000118039171677083,0.235795421549119,0.489787650527433
