"betaAA","phi","kappa","alpha","zeta","betaHA","imp_nEU","propres_impnEU"
0.0158051211582984,0.00732912954361439,4.37901159572914,0.442132421355778,0.00798271955194633,0.00308630714479885,0.262368885140264,0.578488095821123
0.00312259804059497,0.0204219021122866,5.67545538362041,0.315050424421624,0.011918893055203,0.0041893481404448,0.272776449804173,0.457013630195077
0.0102099853605874,0.00773567405250476,0.249198655326203,0.386919988650199,0.00462208321541032,0.00307384133935511,0.00553131847464145,0.767668983749426
0.00250265976986352,0.0144979759822507,0.536706331574748,0.323390504251394,0.00924525552023439,0.00282966988789795,0.281077746382848,0.0580176086302325
0.000768140848146893,0.0194642290576722,14.7400306937132,0.484938696056162,0.0108444160743339,0.00552354337274649,0.0465071867208828,0.876509787082752
0.0035492627669828,0.00111084142273886,6.30784447480352,0.691482503687361,0.00653192794767263,0.00537735769257899,0.196824835436535,0.424809560347953
0.0069653426064334,0.0284041439935669,18.9952320816504,0.384639021588118,0.0106877894699884,0.00428960578784893,0.18358708496373,0.0476483874433835
0.00590395056872064,0.0025106191447557,5.76841130195222,0.584254054466224,0.0126813426772017,0.00368739558873535,0.119909529898044,0.37713512305318
0.00582547616577064,0.00383838690467201,10.0104952345952,0.599311596974634,0.0126809661319419,0.00427345001243607,0.0888856283968775,0.393313029091
0.00221214712916817,0.0123317778085614,4.13987471077878,0.460511947738744,0.00777750897320344,0.003210615130439,0.0965509158568288,0.437697582936383
0.00827425034484672,0.0244750391135976,18.2100129345147,0.391213331458448,0.0154570299503279,0.00384925401546945,0.061249362673604,0.302111085765846
0.015495001560667,0.00925562133410628,10.3022476077777,0.516746639518691,0.0094885928331251,0.00304022726173491,0.244649865057968,0.470970968056188
0.00369803936417491,0.0179083596577861,10.8295974139772,0.450749016491657,0.0123971860123735,0.00248994334468153,0.0818635546892511,0.0759565496722076
0.00810084463200695,0.0144433448817594,8.7832498193425,0.448350844095349,0.0116866407544668,0.00316397908802598,0.185371485647148,0.488854809881714
0.0119993394502104,0.0133854054937442,11.4359427731745,0.428349449327211,0.00754772115339199,0.00420376284321045,0.223644211634488,0.993363160312793
